Sean, Rodriguez, 15234441,3.14, RoSe4441
Michael, Reich, 13594699,1.475, ReMi0699
Leslie, Kudrow, 41984711,1.926, KuLe0711
Bryan, Waxman, 29776964,3.683, WaBr0964
Leslie, Reich, 21645086,3.198, ReLe0086
Stephanie, Levitts, 81851812,2.097, LeSt0812
Bryan, Reich, 38592906,3.214, ReBr0906
Lisa, DiMarco, 17163273,3.323, DiLi0273
Leslie, Waxman, 99595777,3.536, WaLe0777
David, DiMarco, 27221999,1.592, DiDa0999
Bob, Reich, 70465552,2.313, ReBo0552
Michael, Waxman, 47102392,1.205, WaMi0392
John, Passanante, 96208905,3.658, PaJo0905
Leslie, Waxman, 90067331,3.362, WaLe0331
David, Phillips, 50409477,1.427, PhDa0477
Bob, Waxman, 28553431,2.352, WaBo0431
David, Passanante, 91224399,2.243, PaDa0399
David, Passanante, 55149535,3.811, PaDa0535
Stephanie, DiMarco, 13878007,3.357, DiSt0007
John, Reich, 19701354,3.516, ReJo0354
Bob, Reich, 62035554,3.675, ReBo0554
Stephanie, Kudrow, 91174974,3.927, KuSt0974
Michael, Levitts, 32939768,1.061, LeMi0768
David, Waxman, 85412122,2.446, WaDa0122
Lisa, Levitts, 13692996,1.731, LeLi0996
Lisa, DiMarco, 42409945,3.104, DiLi0945
Michael, Reich, 78567828,2.345, ReMi0828
Lisa, Levitts, 69258145,2.145, LeLi0145
Stephanie, Reich, 79728958,2.136, ReSt0958
Michelle, Phillips, 97366284,3.715, PhMi0284
Bryan, Phillips, 56249115,1.159, PhBr0115
Michelle, DiMarco, 45114047,2.631, DiMi0047
Leslie, DiMarco, 98801877,1.497, DiLe0877
David, Waxman, 89557295,3.931, WaDa0295
John, Passanante, 59914175,2.031, PaJo0175
Michelle, Reich, 53322737,2.687, ReMi0737
Michael, Reich, 62161296,2.094, ReMi0296
Michelle, DiMarco, 85323973,1.28, DiMi0973
John, Kudrow, 79187224,3.109, KuJo0224
Leslie, Waxman, 66431802,1.112, WaLe0802
Stephanie, Reich, 36933083,1.054, ReSt0083
David, DiMarco, 53731547,2.463, DiDa0547
John, Kudrow, 14956539,2.331, KuJo0539
Lisa, Passanante, 49500215,1.966, PaLi0215
Michael, Passanante, 60224959,3.394, PaMi0959
Leslie, Phillips, 13536352,1.906, PhLe0352
Bryan, Phillips, 48265124,1.215, PhBr0124
Stephanie, Kudrow, 69975336,1.312, KuSt0336
Michelle, DiMarco, 49052341,3.43, DiMi0341
Bryan, DiMarco, 72222986,2.562, DiBr0986
Michael, Reich, 57521724,1.765, ReMi0724
Lisa, Reich, 52140248,1.952, ReLi0248
Stephanie, Phillips, 41084500,2.062, PhSt0500
Bob, Phillips, 42111802,2.46, PhBo0802
David, Passanante, 19032124,1.011, PaDa0124
Lisa, Levitts, 31131393,3.661, LeLi0393
Michael, Phillips, 91211022,1.428, PhMi0022
Bob, Phillips, 28536696,2.501, PhBo0696
Michael, Phillips, 85850780,2.653, PhMi0780
Bob, Passanante, 51526526,3.418, PaBo0526
Lisa, Levitts, 48928591,2.43, LeLi0591
Bryan, Waxman, 55093221,3.994, WaBr0221
Lisa, Reich, 29952757,2.339, ReLi0757
John, Levitts, 25502978,1.13, LeJo0978
Bryan, Kudrow, 71548083,3.631, KuBr0083
Michael, Waxman, 30957002,3.445, WaMi0002
David, Levitts, 72725967,2.058, LeDa0967
Michael, Reich, 45566228,3.358, ReMi0228
Lisa, Reich, 28221972,3.022, ReLi0972
Michael, Levitts, 15272473,1.09, LeMi0473
David, Kudrow, 88783742,1.158, KuDa0742
Stephanie, Phillips, 26848802,2.527, PhSt0802
Michael, Phillips, 89792036,1.162, PhMi0036
Bob, Phillips, 13611924,3.672, PhBo0924
Lisa, Phillips, 18097702,1.481, PhLi0702
David, Passanante, 73979462,2.148, PaDa0462
David, Phillips, 29457405,1.186, PhDa0405
David, Kudrow, 71504852,1.966, KuDa0852
Leslie, DiMarco, 91450937,1.122, DiLe0937
Stephanie, Phillips, 87522736,2.524, PhSt0736
Michelle, DiMarco, 69262887,1.188, DiMi0887
Stephanie, Levitts, 80037636,2.551, LeSt0636
Stephanie, Kudrow, 14211516,2.308, KuSt0516
Lisa, Passanante, 94988727,2.459, PaLi0727
Bryan, Levitts, 77407631,1.472, LeBr0631
John, Kudrow, 58523521,1.325, KuJo0521
Stephanie, Passanante, 33426286,1.896, PaSt0286
Bob, Passanante, 91413269,3.457, PaBo0269
Bob, Levitts, 41374094,1.176, LeBo0094
John, Reich, 59242912,2.269, ReJo0912
Michelle, DiMarco, 63235003,1.999, DiMi0003
Lisa, Phillips, 64508365,2.923, PhLi0365
Lisa, Passanante, 61877316,3.767, PaLi0316
Michelle, Passanante, 99253978,1.955, PaMi0978
Stephanie, Phillips, 63604773,3.223, PhSt0773
Bryan, Kudrow, 69382958,1.855, KuBr0958
Leslie, DiMarco, 92634522,2.905, DiLe0522
John, DiMarco, 74273581,1.303, DiJo0581
Stephanie, Passanante, 97384782,3.036, PaSt0782
David, Passanante, 37834007,1.54, PaDa0007
Stephanie, DiMarco, 10955012,1.179, DiSt0012
Leslie, Levitts, 59628500,1.08, LeLe0500
Michelle, DiMarco, 20681383,3.747, DiMi0383
Bryan, Phillips, 87207877,2.733, PhBr0877
Michelle, Phillips, 64150394,3.216, PhMi0394
Bryan, Phillips, 53276983,3.648, PhBr0983
Michael, Waxman, 21553441,1.617, WaMi0441
Michael, Reich, 23832035,2.846, ReMi0035
Michelle, DiMarco, 26765105,2.662, DiMi0105
Michelle, Reich, 15900603,1.459, ReMi0603
Lisa, Waxman, 72028044,3.581, WaLi0044
Bob, Levitts, 66017074,1.626, LeBo0074
John, Phillips, 83627248,3.525, PhJo0248
John, Kudrow, 73066421,1.791, KuJo0421
David, Passanante, 48436487,1.1, PaDa0487
Bob, Kudrow, 41629030,1.827, KuBo0030
John, Reich, 63719765,2.404, ReJo0765
Stephanie, Waxman, 24459484,2.239, WaSt0484
Lisa, Kudrow, 25070589,1.626, KuLi0589
Michael, Waxman, 75232029,3.384, WaMi0029
Stephanie, Kudrow, 39871882,2.074, KuSt0882
John, Phillips, 95185609,2.44, PhJo0609
Stephanie, Kudrow, 66159314,2.196, KuSt0314
Stephanie, Levitts, 19801230,1.578, LeSt0230
Michelle, Phillips, 89270908,3.956, PhMi0908
Lisa, Phillips, 94144493,2.555, PhLi0493
Michael, Phillips, 11165708,2.641, PhMi0708
Michael, Passanante, 18006098,2.701, PaMi0098
David, Phillips, 69794317,1.945, PhDa0317
Stephanie, Passanante, 84473133,1.994, PaSt0133
Michael, Reich, 18404145,2.917, ReMi0145
Bryan, Waxman, 78063974,1.716, WaBr0974
David, Waxman, 87162148,3.116, WaDa0148
Michael, DiMarco, 91059567,2.881, DiMi0567
Bob, Passanante, 21977892,1.061, PaBo0892
Stephanie, Levitts, 59163970,1.411, LeSt0970
Bob, Kudrow, 77909739,1.807, KuBo0739
Stephanie, Reich, 60126905,1.774, ReSt0905
Michelle, DiMarco, 37036984,2.264, DiMi0984
Stephanie, Reich, 21461165,2.55, ReSt0165
Bob, Passanante, 83180739,1.558, PaBo0739
Bryan, Kudrow, 25887696,1.127, KuBr0696
Lisa, Levitts, 98356399,1.567, LeLi0399
Bob, Reich, 85641123,2.521, ReBo0123
Lisa, Waxman, 88340465,2.435, WaLi0465
Bryan, Levitts, 79268598,2.996, LeBr0598
Leslie, Reich, 57234575,1.678, ReLe0575
David, Reich, 27054719,3.984, ReDa0719
John, Reich, 13409543,3.216, ReJo0543
Michael, Phillips, 93705365,1.496, PhMi0365
John, Reich, 91712200,1.408, ReJo0200
Leslie, Reich, 89423274,2.003, ReLe0274
Bob, Phillips, 79317883,1.955, PhBo0883
Bryan, Passanante, 63008129,2.497, PaBr0129
John, Levitts, 85111354,1.232, LeJo0354
Bob, Reich, 93114014,2.189, ReBo0014
Michael, Passanante, 64978968,2.413, PaMi0968
Lisa, Passanante, 16297022,3.076, PaLi0022
David, Reich, 77894932,3.466, ReDa0932
Bob, Reich, 32985832,2.328, ReBo0832
Bryan, Phillips, 20184422,3.859, PhBr0422
John, Levitts, 95008085,1.208, LeJo0085
David, Reich, 37846400,2.572, ReDa0400
John, Reich, 50805355,2.01, ReJo0355
Michael, Reich, 49318937,2.748, ReMi0937
Bryan, Phillips, 26969514,1.201, PhBr0514
Leslie, DiMarco, 73569852,3.077, DiLe0852
Bob, Waxman, 97233349,2.756, WaBo0349
John, Phillips, 20895480,1.76, PhJo0480
Stephanie, Phillips, 22548193,1.386, PhSt0193
Leslie, Waxman, 56310386,3.618, WaLe0386
Bob, Passanante, 48381411,3.134, PaBo0411
Michael, Kudrow, 57910828,3.722, KuMi0828
John, DiMarco, 77866555,1.543, DiJo0555
Michelle, Reich, 45094791,2.602, ReMi0791
Michael, Phillips, 51938982,2.377, PhMi0982
David, Reich, 54021403,3.894, ReDa0403
Michael, Reich, 70089761,1.583, ReMi0761
Michelle, Reich, 30192541,3.0, ReMi0541
David, Levitts, 67870681,1.997, LeDa0681
Bryan, Reich, 60539436,3.124, ReBr0436
Bryan, DiMarco, 59783171,1.967, DiBr0171
Michelle, Waxman, 29897111,2.744, WaMi0111
Bob, Kudrow, 88683937,3.892, KuBo0937
David, DiMarco, 59249425,1.384, DiDa0425
Stephanie, Kudrow, 35340144,1.375, KuSt0144
Leslie, Phillips, 45627593,2.261, PhLe0593
Lisa, Kudrow, 94266943,3.453, KuLi0943
Lisa, Phillips, 66044921,3.162, PhLi0921
John, Levitts, 44480152,2.128, LeJo0152
Lisa, Reich, 10350643,3.619, ReLi0643
John, Waxman, 56296923,3.16, WaJo0923
John, DiMarco, 70385618,3.242, DiJo0618
Michael, Reich, 37817188,3.838, ReMi0188
Stephanie, Kudrow, 45322725,2.796, KuSt0725
Michelle, Waxman, 37218704,3.184, WaMi0704
David, DiMarco, 35574763,2.343, DiDa0763
Bryan, Passanante, 99498510,1.826, PaBr0510
John, Levitts, 80152665,3.573, LeJo0665
Michelle, Passanante, 68793610,3.478, PaMi0610
Lisa, Passanante, 94856857,3.13, PaLi0857
Bryan, DiMarco, 29913685,3.77, DiBr0685
Michelle, Phillips, 51184534,3.545, PhMi0534
John, Levitts, 35218659,3.865, LeJo0659
David, Waxman, 88335710,3.106, WaDa0710
David, Passanante, 35473934,3.105, PaDa0934
Lisa, DiMarco, 93200832,1.755, DiLi0832
Leslie, Levitts, 55816079,3.624, LeLe0079
David, Waxman, 15712764,3.861, WaDa0764
David, Waxman, 50461825,3.67, WaDa0825
John, Passanante, 49445979,2.444, PaJo0979
Bob, Kudrow, 62293137,2.073, KuBo0137
Leslie, Levitts, 99845747,2.204, LeLe0747
Michael, Kudrow, 75951232,1.101, KuMi0232
Michael, Phillips, 54970137,1.432, PhMi0137
Bryan, Passanante, 55572277,1.644, PaBr0277
Bryan, Waxman, 56127657,3.659, WaBr0657
Michael, Levitts, 50797652,3.464, LeMi0652
Leslie, Phillips, 78293328,1.612, PhLe0328
Michelle, Waxman, 97191564,2.956, WaMi0564
John, Phillips, 42686027,2.837, PhJo0027
Bob, Waxman, 19698799,2.646, WaBo0799
Stephanie, Reich, 86389871,2.065, ReSt0871
Michelle, Levitts, 80275464,2.388, LeMi0464
David, Kudrow, 96402518,1.17, KuDa0518
John, Waxman, 13325524,2.978, WaJo0524
David, Kudrow, 67993128,1.3, KuDa0128
John, Waxman, 45075905,2.641, WaJo0905
Stephanie, DiMarco, 79752837,3.53, DiSt0837
Michael, DiMarco, 45523055,3.617, DiMi0055
David, Reich, 50220568,1.118, ReDa0568
Michael, Passanante, 94083677,1.801, PaMi0677
Stephanie, Waxman, 93466938,1.21, WaSt0938
Bob, DiMarco, 92582541,2.164, DiBo0541
Lisa, Phillips, 63519140,3.584, PhLi0140
Bryan, Reich, 41710125,1.399, ReBr0125
Bob, Kudrow, 50009560,2.772, KuBo0560
Bryan, Waxman, 99582909,3.036, WaBr0909
John, Kudrow, 99930960,2.638, KuJo0960
Michelle, Waxman, 13539171,1.961, WaMi0171
David, Kudrow, 72881064,3.279, KuDa0064
Michelle, Reich, 58803032,2.078, ReMi0032
Lisa, DiMarco, 19679307,1.809, DiLi0307
Michelle, Passanante, 60149638,2.561, PaMi0638
John, Phillips, 56738601,1.387, PhJo0601
Stephanie, Passanante, 25204215,2.923, PaSt0215
Bob, Phillips, 81074931,2.567, PhBo0931
Bryan, Waxman, 90507882,2.864, WaBr0882
John, Kudrow, 53337561,2.815, KuJo0561
Michelle, Phillips, 23982984,3.603, PhMi0984
Bob, DiMarco, 68742690,3.783, DiBo0690
Bryan, Phillips, 79930760,3.174, PhBr0760
Leslie, Waxman, 88293367,2.678, WaLe0367
Stephanie, Kudrow, 75194205,2.894, KuSt0205
John, Reich, 35168470,1.816, ReJo0470
Michael, DiMarco, 57618876,3.965, DiMi0876
Michael, DiMarco, 83663560,2.201, DiMi0560
Bob, Reich, 20444499,3.925, ReBo0499
Lisa, Kudrow, 90566441,1.721, KuLi0441
Lisa, Reich, 98760169,3.422, ReLi0169
Michelle, Reich, 21350208,1.298, ReMi0208
Lisa, Waxman, 96655970,1.513, WaLi0970
John, Levitts, 96066621,2.08, LeJo0621
Bryan, Waxman, 96203801,3.465, WaBr0801
Stephanie, Levitts, 32322619,1.523, LeSt0619
Bryan, Phillips, 51900256,2.76, PhBr0256
John, Passanante, 25222746,2.944, PaJo0746
Leslie, Phillips, 76704351,1.783, PhLe0351
Lisa, Reich, 96660371,2.891, ReLi0371
John, Passanante, 88302890,1.391, PaJo0890
Lisa, Passanante, 48840448,2.412, PaLi0448
Michelle, Waxman, 26736341,1.349, WaMi0341
Michelle, Waxman, 29416661,2.074, WaMi0661
Michelle, DiMarco, 77017961,3.33, DiMi0961
David, Kudrow, 28125770,1.316, KuDa0770
John, Phillips, 82879052,2.946, PhJo0052
Michelle, Passanante, 67301953,2.466, PaMi0953
Bob, Phillips, 60273102,3.038, PhBo0102
Stephanie, Phillips, 81153967,2.538, PhSt0967
Lisa, DiMarco, 51771671,3.175, DiLi0671
Leslie, Phillips, 31187947,1.615, PhLe0947
Bob, Kudrow, 15484790,2.083, KuBo0790
Bob, Phillips, 17658630,3.442, PhBo0630
David, Phillips, 14638736,2.472, PhDa0736
Michelle, Passanante, 79431856,2.535, PaMi0856
Bryan, Phillips, 96443942,2.465, PhBr0942
Michael, Waxman, 27141121,3.929, WaMi0121
Leslie, Phillips, 81385906,3.611, PhLe0906
Bob, Kudrow, 37021009,2.379, KuBo0009
David, Kudrow, 46571855,3.178, KuDa0855
Stephanie, DiMarco, 55300328,1.614, DiSt0328
Bryan, Levitts, 59266036,2.208, LeBr0036
Leslie, Kudrow, 45537740,1.991, KuLe0740
Bob, Waxman, 79246411,1.531, WaBo0411
Michelle, Levitts, 73782718,2.621, LeMi0718
John, Phillips, 71115562,3.723, PhJo0562
John, Phillips, 58944618,1.827, PhJo0618
Michael, Passanante, 30198650,3.702, PaMi0650
Bryan, Kudrow, 28252717,1.504, KuBr0717
Bryan, Kudrow, 98161208,2.45, KuBr0208
Leslie, Waxman, 30189975,3.742, WaLe0975
John, Passanante, 66979611,1.047, PaJo0611
Bob, Phillips, 49783391,3.782, PhBo0391
John, Passanante, 22397001,2.014, PaJo0001
Michelle, Kudrow, 23633734,2.157, KuMi0734
Lisa, Waxman, 30497510,3.651, WaLi0510
Bryan, Passanante, 74567450,2.605, PaBr0450
Leslie, Kudrow, 33531587,3.855, KuLe0587
Leslie, Levitts, 28293590,2.09, LeLe0590
John, Kudrow, 63625217,3.624, KuJo0217
John, Reich, 86948551,1.03, ReJo0551
John, Reich, 95505883,1.212, ReJo0883
Bryan, Passanante, 56911450,2.561, PaBr0450
Bryan, Levitts, 51878056,1.651, LeBr0056
Bryan, Kudrow, 40772931,3.43, KuBr0931
Leslie, Phillips, 47581027,1.105, PhLe0027
Bryan, Waxman, 35840236,3.867, WaBr0236
Michael, Passanante, 81161913,2.275, PaMi0913
Michael, Reich, 44061338,1.509, ReMi0338
Stephanie, Reich, 24996632,3.808, ReSt0632
John, Levitts, 70750958,1.23, LeJo0958
Bryan, Reich, 67591654,3.439, ReBr0654
David, Phillips, 42001276,1.456, PhDa0276
Leslie, Waxman, 74199372,1.322, WaLe0372
Lisa, Passanante, 53160133,2.314, PaLi0133
David, Reich, 44379860,2.765, ReDa0860
David, Kudrow, 33259574,3.701, KuDa0574
David, DiMarco, 87641871,2.343, DiDa0871
Leslie, Kudrow, 92777493,1.112, KuLe0493
Michael, DiMarco, 70795868,1.085, DiMi0868
Michael, Passanante, 54615251,2.814, PaMi0251
John, Reich, 13151900,1.226, ReJo0900
Michelle, Reich, 20674023,2.712, ReMi0023
David, Reich, 78195137,1.713, ReDa0137
Michael, Kudrow, 68912716,3.0, KuMi0716
David, DiMarco, 22871892,3.446, DiDa0892
Bryan, Reich, 78270291,1.42, ReBr0291
Leslie, Reich, 58118910,3.968, ReLe0910
Lisa, Reich, 71335245,2.738, ReLi0245
Leslie, Waxman, 56768771,1.054, WaLe0771
Stephanie, Kudrow, 47145120,3.767, KuSt0120
David, DiMarco, 97464201,1.439, DiDa0201
David, Kudrow, 98998813,1.027, KuDa0813
Lisa, Passanante, 45714096,1.626, PaLi0096
Michael, Phillips, 14664540,1.884, PhMi0540
Michelle, Levitts, 35724095,1.501, LeMi0095
Michael, Passanante, 98866207,2.758, PaMi0207
Lisa, DiMarco, 49134497,1.218, DiLi0497
Leslie, Phillips, 30431073,3.74, PhLe0073
Bob, DiMarco, 49298342,1.57, DiBo0342
Bob, Passanante, 58981459,3.705, PaBo0459
Michelle, Phillips, 82232455,1.805, PhMi0455
John, DiMarco, 48553332,1.764, DiJo0332
Bryan, Reich, 47874294,1.61, ReBr0294
John, Kudrow, 88024602,1.643, KuJo0602
Stephanie, Kudrow, 37777374,2.723, KuSt0374
Stephanie, Kudrow, 20735913,1.328, KuSt0913
John, Waxman, 87878124,3.386, WaJo0124
David, Reich, 38186735,2.075, ReDa0735
Leslie, Waxman, 17466963,3.608, WaLe0963
Michael, Phillips, 95189619,2.605, PhMi0619
Bryan, Reich, 47996388,3.956, ReBr0388
Bryan, Levitts, 66365376,2.096, LeBr0376
Bryan, Phillips, 37858948,2.325, PhBr0948
Michelle, Levitts, 66362000,3.297, LeMi0000
Bob, Passanante, 51767858,2.921, PaBo0858
John, Levitts, 18680176,1.863, LeJo0176
Leslie, Reich, 55873081,1.402, ReLe0081
John, DiMarco, 10488171,2.739, DiJo0171
John, Levitts, 62245717,3.91, LeJo0717
Bob, Phillips, 23308893,3.199, PhBo0893
Bob, Levitts, 88863469,3.449, LeBo0469
Bob, Kudrow, 81961986,2.865, KuBo0986
Bob, Waxman, 43730033,2.818, WaBo0033
Stephanie, Phillips, 86643717,2.805, PhSt0717
John, Passanante, 24261208,3.083, PaJo0208
Stephanie, Levitts, 55527507,1.55, LeSt0507
Stephanie, Levitts, 15570544,3.283, LeSt0544
Stephanie, Waxman, 87767894,2.607, WaSt0894
John, Waxman, 63787338,3.846, WaJo0338
Michael, Levitts, 99290767,3.829, LeMi0767
Leslie, Waxman, 43039784,3.923, WaLe0784
John, Kudrow, 36252653,2.713, KuJo0653
Bob, DiMarco, 47236111,1.615, DiBo0111
Michelle, Levitts, 33551880,1.475, LeMi0880
David, Phillips, 30276493,3.798, PhDa0493
Leslie, Levitts, 98274458,2.494, LeLe0458
Michael, DiMarco, 40828563,2.013, DiMi0563
John, Levitts, 90457433,3.455, LeJo0433
Michael, Passanante, 80299346,3.64, PaMi0346
Bob, Passanante, 76052577,2.292, PaBo0577
John, Kudrow, 75136400,1.316, KuJo0400
Michael, Phillips, 69473208,1.761, PhMi0208
Bryan, Waxman, 27091011,1.315, WaBr0011
Bob, Passanante, 95606944,1.242, PaBo0944
Leslie, Waxman, 67576210,1.353, WaLe0210
David, Reich, 83677215,3.102, ReDa0215
Leslie, Levitts, 74752494,1.033, LeLe0494
John, Phillips, 27836352,1.715, PhJo0352
Michelle, Levitts, 64473968,2.901, LeMi0968
Michelle, Reich, 61873033,1.975, ReMi0033
David, Waxman, 68727820,1.81, WaDa0820
Michelle, Kudrow, 27916949,3.891, KuMi0949
Bob, Waxman, 37699864,3.084, WaBo0864
Michael, Levitts, 31523456,1.607, LeMi0456
Michael, Levitts, 54099010,2.671, LeMi0010
Bryan, Levitts, 78021051,3.939, LeBr0051
Bryan, Kudrow, 90873447,1.262, KuBr0447
Bob, Kudrow, 57504473,3.26, KuBo0473
Bryan, Passanante, 95951374,2.098, PaBr0374
Leslie, Phillips, 18356261,3.331, PhLe0261
Stephanie, Kudrow, 40139069,2.912, KuSt0069
Leslie, Reich, 61679543,1.418, ReLe0543
Michelle, Waxman, 36809127,2.232, WaMi0127
Stephanie, Reich, 21524914,3.773, ReSt0914
Bob, Reich, 34511661,2.014, ReBo0661
Bob, Levitts, 18294182,1.338, LeBo0182
Michelle, Reich, 46141301,1.309, ReMi0301
Bryan, Waxman, 25203815,1.248, WaBr0815
David, Kudrow, 10792795,3.432, KuDa0795
Bryan, Phillips, 30190876,3.474, PhBr0876
Lisa, Reich, 26937987,2.855, ReLi0987
Leslie, Kudrow, 58144304,1.7, KuLe0304
John, Passanante, 98057080,2.78, PaJo0080
Bob, Phillips, 60844292,1.272, PhBo0292
Bryan, DiMarco, 84356870,1.114, DiBr0870
David, Waxman, 64492635,2.815, WaDa0635
Bryan, Levitts, 36708874,3.301, LeBr0874
Leslie, Levitts, 87216813,2.838, LeLe0813
Leslie, Phillips, 31440094,1.237, PhLe0094
John, Waxman, 81430655,3.445, WaJo0655
Bryan, Phillips, 87109276,2.227, PhBr0276
David, Waxman, 88434374,2.971, WaDa0374
Michelle, Reich, 46901432,3.701, ReMi0432
Bob, Passanante, 95136805,3.139, PaBo0805
Bob, Levitts, 52773474,2.146, LeBo0474
Bryan, Waxman, 95282625,3.077, WaBr0625
Leslie, Kudrow, 99983763,2.487, KuLe0763
David, Passanante, 70067430,2.297, PaDa0430
Michael, Waxman, 63138370,3.858, WaMi0370
Bryan, Reich, 75523391,2.445, ReBr0391
Lisa, Kudrow, 77386879,1.498, KuLi0879
Lisa, Kudrow, 16558405,1.453, KuLi0405
David, Passanante, 10900540,3.229, PaDa0540
John, DiMarco, 60031454,1.398, DiJo0454
Bryan, Kudrow, 27265579,2.725, KuBr0579
Bob, Levitts, 51747068,1.172, LeBo0068
Stephanie, Levitts, 28924491,2.546, LeSt0491
Leslie, Kudrow, 14751644,2.814, KuLe0644
Leslie, Levitts, 25298099,3.654, LeLe0099
David, Phillips, 48814473,1.066, PhDa0473
John, DiMarco, 71721244,1.859, DiJo0244
Michelle, Waxman, 43476253,1.522, WaMi0253
Stephanie, Phillips, 67824844,2.43, PhSt0844
Bryan, Kudrow, 89547944,2.44, KuBr0944
Leslie, Kudrow, 86497220,1.826, KuLe0220
Michelle, Phillips, 66442736,2.064, PhMi0736
Michael, Reich, 37057427,3.258, ReMi0427
Bryan, Kudrow, 55223958,1.05, KuBr0958
John, Waxman, 98773446,1.554, WaJo0446
Stephanie, Kudrow, 99751755,3.327, KuSt0755
Bryan, Reich, 53358035,2.548, ReBr0035
Michael, Levitts, 20811322,1.488, LeMi0322
Michael, Phillips, 77575059,1.931, PhMi0059
Lisa, Reich, 10605516,2.554, ReLi0516
Bob, Levitts, 89589093,2.318, LeBo0093
Bob, Waxman, 57494674,3.688, WaBo0674
Michael, Passanante, 75191142,3.959, PaMi0142
David, Reich, 53366420,2.218, ReDa0420
Bob, Kudrow, 62533254,1.333, KuBo0254
Michelle, DiMarco, 28518299,2.045, DiMi0299
Bob, Passanante, 56504866,3.58, PaBo0866
Stephanie, Kudrow, 71436036,3.273, KuSt0036
Leslie, Waxman, 86383685,1.489, WaLe0685
Stephanie, Levitts, 53350244,1.668, LeSt0244
Stephanie, Reich, 92893924,2.502, ReSt0924
Bob, DiMarco, 19954379,1.269, DiBo0379
Michelle, Levitts, 33304683,3.955, LeMi0683
Bob, Waxman, 65166765,2.245, WaBo0765
Bryan, Reich, 65701319,3.517, ReBr0319
Lisa, Passanante, 54319503,1.846, PaLi0503
Bryan, Levitts, 66062593,2.544, LeBr0593
Leslie, Passanante, 36657066,2.029, PaLe0066
Michelle, DiMarco, 94276422,3.814, DiMi0422
Bryan, Waxman, 49527403,3.096, WaBr0403
John, Kudrow, 27727038,2.847, KuJo0038
David, Levitts, 19148361,2.451, LeDa0361
Lisa, Levitts, 23586371,2.796, LeLi0371
Leslie, Kudrow, 35332234,3.293, KuLe0234
Michael, Levitts, 73442469,2.601, LeMi0469
Bob, Kudrow, 40051255,2.851, KuBo0255
Bob, DiMarco, 86397767,1.886, DiBo0767
Michael, Levitts, 62226843,2.498, LeMi0843
Michelle, Phillips, 69270020,3.808, PhMi0020
Bob, Phillips, 83625421,1.826, PhBo0421
Stephanie, Passanante, 85028694,3.827, PaSt0694
Bob, Waxman, 83243607,2.533, WaBo0607
Michael, Passanante, 53099676,1.1, PaMi0676
John, Phillips, 20065606,3.705, PhJo0606
Lisa, Reich, 17671041,3.987, ReLi0041
David, Levitts, 76575590,3.829, LeDa0590
Michael, Waxman, 92632765,1.851, WaMi0765
Leslie, Kudrow, 67907932,1.644, KuLe0932
Stephanie, Kudrow, 34283142,2.153, KuSt0142
Michael, Kudrow, 94018015,3.642, KuMi0015
Lisa, DiMarco, 35434743,1.528, DiLi0743
John, Phillips, 34756535,1.841, PhJo0535
Bob, Passanante, 37052728,3.323, PaBo0728
David, Phillips, 10230032,3.139, PhDa0032
Michael, DiMarco, 96058306,2.803, DiMi0306
Bryan, Waxman, 81330488,3.369, WaBr0488
Bob, DiMarco, 50430191,2.997, DiBo0191
Michael, Waxman, 97816820,3.861, WaMi0820
Bob, Passanante, 75236815,1.894, PaBo0815
John, Passanante, 83831051,1.138, PaJo0051
John, Reich, 55732167,3.456, ReJo0167
David, Levitts, 43231992,1.05, LeDa0992
John, Phillips, 46148021,3.662, PhJo0021
Bob, Phillips, 69629239,1.468, PhBo0239
Bob, DiMarco, 55315408,2.547, DiBo0408
Michelle, Waxman, 48500304,2.352, WaMi0304
Bryan, Kudrow, 32748114,3.953, KuBr0114
Bob, Levitts, 61273686,3.795, LeBo0686
Stephanie, DiMarco, 51321010,1.458, DiSt0010
David, DiMarco, 13760696,1.388, DiDa0696
Leslie, Waxman, 75176079,3.687, WaLe0079
Michael, Reich, 93818844,3.984, ReMi0844
Bryan, Passanante, 73988896,2.992, PaBr0896
Leslie, Kudrow, 85629623,3.702, KuLe0623
Lisa, Reich, 97228377,2.187, ReLi0377
Michelle, Waxman, 90473466,2.777, WaMi0466
John, Waxman, 34542671,1.833, WaJo0671
Bryan, Passanante, 96384719,1.569, PaBr0719
John, Phillips, 70903912,1.26, PhJo0912
Bryan, Phillips, 91569429,2.851, PhBr0429
Stephanie, Phillips, 77644743,1.314, PhSt0743
Leslie, Kudrow, 98968762,1.186, KuLe0762
Michael, Levitts, 73019333,3.525, LeMi0333
Stephanie, Levitts, 71850857,2.007, LeSt0857
John, Levitts, 38421781,1.175, LeJo0781
Lisa, DiMarco, 62813947,1.727, DiLi0947
John, DiMarco, 98894647,3.478, DiJo0647
Michelle, DiMarco, 21083542,1.97, DiMi0542
Michelle, Kudrow, 29060481,2.823, KuMi0481
Stephanie, Waxman, 35486487,2.769, WaSt0487
Michael, Waxman, 38109129,2.819, WaMi0129
Michelle, Phillips, 62984714,1.316, PhMi0714
Stephanie, Kudrow, 39973638,3.583, KuSt0638
Michelle, Passanante, 95151512,2.596, PaMi0512
Bob, Passanante, 37327568,3.507, PaBo0568
Lisa, Phillips, 27473091,1.02, PhLi0091
Bryan, Reich, 40536541,2.448, ReBr0541
Bryan, Phillips, 48858295,3.864, PhBr0295
Bob, Phillips, 35196803,1.075, PhBo0803
